Spatial Dimension,ParentLocationCode,Continent,Has Chronic Respiratory Disease Guidelines?,Country Code,Has Cancer Guidelines?,Has Diabetes Guidelines?,Has Cardiovascular Disease Guidelines?
Cook Islands (the),WPR,Western Pacific,No,COK,Yes,Yes,Yes
Syrian Arab Republic,EMR,Eastern Mediterranean,Yes,SYR,Yes,Yes,Yes
Guyana,AMR,Americas,No,GUY,Yes,Yes,Yes
Suriname,AMR,Americas,Yes,SUR,No,Yes,Yes
Iraq,EMR,Eastern Mediterranean,Yes,IRQ,Yes,Yes,Yes
Greece,EUR,Europe,Yes,GRC,Yes,Yes,Yes
Burundi,AFR,Africa,Yes,BDI,No,No,Yes
Singapore,WPR,Western Pacific,Yes,SGP,Yes,Yes,Yes
Kiribati,WPR,Western Pacific,No,KIR,No,Yes,Yes
United States of America (the),AMR,Americas,Yes,USA,Yes,Yes,Yes
Tunisia,EMR,Eastern Mediterranean,Yes,TUN,Yes,Yes,Yes
Bosnia and Herzegovina,EUR,Europe,Yes,BIH,Yes,Yes,Yes
Venezuela (Bolivarian Republic of),AMR,Americas,Yes,VEN,Yes,Yes,Yes
Uruguay,AMR,Americas,Yes,URY,No,Yes,Yes
Palau,WPR,Western Pacific,Yes,PLW,Yes,Yes,Yes
Jordan,EMR,Eastern Mediterranean,Yes,JOR,No,Yes,Yes
Malta,EUR,Europe,Yes,MLT,No,No,No
Chile,AMR,Americas,Yes,CHL,Yes,Yes,Yes
El Salvador,AMR,Americas,Yes,SLV,Yes,Yes,Yes
Bolivia (Plurinational State of),AMR,Americas,Yes,BOL,Yes,Yes,Yes
Bhutan,SEAR,South-East Asia,Yes,BTN,Yes,Yes,Yes
Slovakia,EUR,Europe,Yes,SVK,Yes,Yes,Yes
Togo,AFR,Africa,No,TGO,No,Yes,Yes
Malaysia,WPR,Western Pacific,Yes,MYS,Yes,Yes,Yes
Burkina Faso,AFR,Africa,Yes,BFA,Yes,Yes,Yes
Marshall Islands (the),WPR,Western Pacific,No,MHL,No,No,Yes
Dominican Republic (the),AMR,Americas,Yes,DOM,Yes,Yes,Yes
China,WPR,Western Pacific,Yes,CHN,Yes,Yes,Yes
Gabon,AFR,Africa,No,GAB,No,No,No
Saint Kitts and Nevis,AMR,Americas,Yes,KNA,Yes,Yes,Yes
Croatia,EUR,Europe,Yes,HRV,Yes,Yes,Yes
Congo (the Democratic Republic of the),AFR,Africa,No,COD,No,No,Don't know
Haiti,AMR,Americas,Yes,HTI,Yes,Yes,Yes
Equatorial Guinea,AFR,Africa,No,GNQ,No,No,No
Georgia,EUR,Europe,Yes,GEO,Yes,Yes,Yes
Comoros (the),AFR,Africa,No,COM,No,Yes,Yes
Korea (the Democratic People's Republic of),SEAR,South-East Asia,No,PRK,No,Yes,Yes
Costa Rica,AMR,Americas,Yes,CRI,Yes,Yes,Yes
Cambodia,WPR,Western Pacific,Yes,KHM,No,No,Yes
Philippines (the),WPR,Western Pacific,No,PHL,No,Yes,Yes
Chad,AFR,Africa,No,TCD,No,No,No
India,SEAR,South-East Asia,Yes,IND,Yes,Yes,Yes
Czechia,EUR,Europe,Yes,CZE,Yes,Yes,Yes
Seychelles,AFR,Africa,Yes,SYC,Yes,Yes,Yes
Antigua and Barbuda,AMR,Americas,No,ATG,No,No,No
Samoa,WPR,Western Pacific,Yes,WSM,Yes,Yes,Yes
Andorra,EUR,Europe,No,AND,No,No,No
Kyrgyzstan,EUR,Europe,Yes,KGZ,Yes,Yes,Yes
Eritrea,AFR,Africa,No,ERI,No,No,Yes
Honduras,AMR,Americas,Yes,HND,No,Yes,Yes
Cameroon,AFR,Africa,No,CMR,No,No,No
Mauritania,AFR,Africa,No,MRT,No,No,No
Cabo Verde,AFR,Africa,No,CPV,No,Yes,Yes
Mali,AFR,Africa,No,MLI,No,Yes,Yes
Kuwait,EMR,Eastern Mediterranean,Yes,KWT,Yes,Yes,Yes
Eswatini,AFR,Africa,Yes,SWZ,Yes,No,Yes
